Insurance	HaveEmail	HaveFitbit	Gdr_Cd	AgeBand	MbrCnt	Age	Female	HasEmail	HasFitbit	IP Admit	ER Visit	PMPM	Med	Ip	Op	Dr	Er	Rx	Charlson	AIDS_HIV	AMI	Angina	Cancer	CEVD	CHF	COPD	Dementia	Diabetes	HTN	Liver	Paralysis	PVD	Renal_Failure	Rheumatic	Ulcers	Depression	Skin
NULL	No	NULL	NULL	NULL	4126310	43.526694	0.516343	0.000000	0.000000	0.046796	0.181812	336.779194	315.067249	85.741256	116.614347	84.665099	28.046546	21.711945	0.530295	0.001164	0.003997	0.021490	0.019967	0.012257	0.010502	0.052875	0.003480	0.056315	0.148307	0.014817	0.001531	0.013499	0.011653	0.007419	0.002365	0.050616	0.008802
UHC-FI	Yes	NULL	F	18-44	352007	33.606939	1.000000	1.000000	0.130085	0.080532	0.215927	492.289093	399.510068	113.739711	134.996805	113.780284	36.993266	92.779025	0.367310	0.000508	0.000562	0.002377	0.011008	0.003306	0.001971	0.062930	0.000107	0.026493	0.063825	0.012391	0.000857	0.002463	0.002832	0.009911	0.001767	0.095262	0.008610
Uni-ASO	Yes	NULL	F	18-44	756209	33.977900	1.000000	1.000000	0.130510	0.090523	0.234111	513.759923	485.612160	139.892485	160.701412	141.460218	43.558042	28.147763	0.365609	0.000597	0.000584	0.002349	0.010805	0.003509	0.002160	0.062127	0.000134	0.027673	0.065069	0.012977	0.000858	0.002702	0.002827	0.009587	0.002114	0.089673	0.008553
NULL	Yes	NULL	F	18-44	1108216	33.860070	1.000000	1.000000	0.130375	0.087350	0.228335	506.940059	458.263214	131.585477	152.536757	132.668132	41.472846	48.676844	0.366150	0.000569	0.000577	0.002358	0.010869	0.003445	0.002100	0.062382	0.000126	0.027298	0.064674	0.012791	0.000858	0.002626	0.002828	0.009690	0.002004	0.091448	0.008571
UHC-FI	Yes	NULL	M	18-44	332215	34.464957	0.000000	1.000000	0.071450	0.019487	0.142269	301.773955	217.308210	50.146370	81.544915	61.726545	23.890378	84.465744	0.338932	0.003819	0.001327	0.004406	0.006224	0.002618	0.002775	0.040609	0.000096	0.031795	0.091227	0.014403	0.000890	0.002703	0.003979	0.002600	0.001541	0.048158	0.008720
Uni-ASO	Yes	NULL	M	18-44	803844	34.658107	0.000000	1.000000	0.081764	0.017721	0.131839	263.639970	237.358599	49.107440	91.645583	72.946281	23.659293	26.281370	0.326081	0.004417	0.001081	0.003888	0.005797	0.002724	0.002479	0.039640	0.000093	0.031134	0.086345	0.014170	0.000812	0.002797	0.003972	0.002226	0.001475	0.042599	0.008055
NULL	Yes	NULL	M	18-44	1136059	34.601625	0.000000	1.000000	0.078748	0.018237	0.134889	274.791399	231.495312	49.411252	88.691869	69.665321	23.726868	43.296087	0.329839	0.004242	0.001153	0.004040	0.005922	0.002693	0.002565	0.039923	0.000094	0.031327	0.087772	0.014238	0.000835	0.002770	0.003974	0.002336	0.001494	0.044224	0.008249
NULL	Yes	NULL	NULL	18-44	2244275	34.235447	0.493796	1.000000	0.104241	0.052365	0.181032	389.425684	343.472595	89.988628	120.218276	100.775913	32.489777	45.953088	0.347769	0.002428	0.000868	0.003209	0.008365	0.003064	0.002336	0.051013	0.000110	0.029338	0.076366	0.013524	0.000846	0.002699	0.003408	0.005967	0.001746	0.067543	0.008408
UHC-FI	Yes	NULL	F	45-64	333153	54.183681	1.000000	1.000000	0.116481	0.046219	0.180970	765.725530	583.885965	131.323323	248.342209	173.151218	31.069214	181.839564	0.956856	0.000774	0.003902	0.021869	0.048476	0.015731	0.009476	0.090799	0.000678	0.099596	0.279030	0.032066	0.001569	0.014086	0.013402	0.025132	0.003947	0.097639	0.011442
Uni-ASO	Yes	NULL	F	45-64	766631	54.332998	1.000000	1.000000	0.127556	0.049090	0.178037	714.515161	661.051839	143.324802	279.211164	205.162852	33.353020	53.463321	0.934860	0.000803	0.003649	0.020505	0.048727	0.015967	0.009318	0.089324	0.000716	0.097314	0.268835	0.031048	0.001830	0.013731	0.013109	0.023828	0.004330	0.093897	0.011153
NULL	Yes	NULL	F	45-64	1099784	54.287766	1.000000	1.000000	0.124201	0.048220	0.178926	730.028106	637.676302	139.689244	269.860159	195.465701	32.661196	92.351803	0.941523	0.000794	0.003726	0.020918	0.048651	0.015895	0.009366	0.089771	0.000704	0.098005	0.271924	0.031357	0.001751	0.013839	0.013198	0.024223	0.004214	0.095031	0.011241
UHC-FI	Yes	NULL	M	45-64	336692	54.156920	0.000000	1.000000	0.076081	0.051801	0.148129	706.832926	527.417834	166.363436	206.283707	129.657147	25.113542	179.415092	0.996337	0.006287	0.010900	0.058195	0.033647	0.017455	0.017042	0.061620	0.000525	0.132197	0.347843	0.031019	0.001823	0.021138	0.019489	0.007677	0.003201	0.043072	0.012114
Uni-ASO	Yes	NULL	M	45-64	839234	54.138771	0.000000	1.000000	0.090450	0.047882	0.133954	590.620154	540.896285	153.483876	216.666393	146.621113	24.124901	49.723869	0.938893	0.006520	0.009201	0.049526	0.033009	0.016152	0.014786	0.057633	0.000683	0.123653	0.322852	0.029080	0.001986	0.018851	0.018522	0.006834	0.003223	0.043133	0.011365
NULL	Yes	NULL	M	45-64	1175926	54.143968	0.000000	1.000000	0.086336	0.049004	0.138012	623.894281	537.037125	157.171561	213.693615	141.763978	24.407970	86.857155	0.955340	0.006453	0.009687	0.052008	0.033192	0.016525	0.015432	0.058774	0.000638	0.126099	0.330008	0.029635	0.001939	0.019506	0.018799	0.007076	0.003217	0.043115	0.011579
NULL	Yes	NULL	NULL	45-64	2275710	54.213461	0.483270	1.000000	0.104635	0.048625	0.157785	675.185650	585.673092	148.722869	240.837261	167.716448	28.396512	89.512558	0.948663	0.003718	0.006806	0.036983	0.040663	0.016221	0.012500	0.073754	0.000670	0.112522	0.301937	0.030467	0.001848	0.016767	0.016092	0.015363	0.003699	0.068205	0.011416
UHC-FI	Yes	NULL	F	65+	25928	68.037758	1.000000	1.000000	0.088861	0.084541	0.196968	1018.206296	759.050985	211.137664	305.855214	214.298141	27.759963	259.155310	1.566433	0.000424	0.008986	0.066144	0.086855	0.046436	0.028810	0.125308	0.007019	0.165728	0.483685	0.036485	0.002661	0.041808	0.042078	0.033014	0.006325	0.080492	0.015195
Uni-ASO	Yes	NULL	F	65+	165609	72.482063	1.000000	1.000000	0.085067	0.084264	0.184899	409.667234	353.353337	99.129412	134.805105	107.118832	12.299986	56.313897	1.227345	0.000199	0.009371	0.058106	0.064712	0.048089	0.034865	0.096377	0.022897	0.112512	0.350385	0.024135	0.003327	0.049900	0.040800	0.023845	0.005150	0.059495	0.013169
NULL	Yes	NULL	F	65+	191537	71.880446	1.000000	1.000000	0.085581	0.084302	0.186533	492.044012	408.271857	114.291757	157.959834	121.627491	14.392774	83.772154	1.273247	0.000229	0.009319	0.059194	0.067710	0.047865	0.034045	0.100293	0.020747	0.119715	0.368430	0.025807	0.003236	0.048805	0.040973	0.025086	0.005309	0.062337	0.013443
UHC-FI	Yes	NULL	M	65+	33706	68.395715	0.000000	1.000000	0.072568	0.106954	0.184447	1183.214219	904.424380	308.169131	354.188387	215.643910	26.422950	278.789838	1.803491	0.002254	0.025989	0.177950	0.104877	0.060167	0.050109	0.096600	0.005547	0.217439	0.546608	0.036403	0.003738	0.071797	0.061265	0.015101	0.005963	0.035839	0.016317
Uni-ASO	Yes	NULL	M	65+	199925	72.408243	0.000000	1.000000	0.071196	0.090328	0.167622	455.529978	398.085595	127.168831	152.205147	107.567991	11.143623	57.444383	1.450121	0.001665	0.019117	0.139877	0.090133	0.056641	0.049598	0.079909	0.015895	0.158284	0.395023	0.023858	0.003966	0.070071	0.057461	0.010859	0.004936	0.031581	0.014045
NULL	Yes	NULL	M	65+	233631	71.829354	0.000000	1.000000	0.071394	0.092727	0.170050	560.513157	471.135212	153.281788	181.345317	123.160130	13.347975	89.377945	1.501102	0.001750	0.020108	0.145370	0.092260	0.057149	0.049672	0.082317	0.014403	0.166818	0.416892	0.025668	0.003933	0.070320	0.058010	0.011471	0.005084	0.032196	0.014373
NULL	Yes	NULL	NULL	65+	425168	71.852371	0.450497	1.000000	0.077785	0.088931	0.177475	529.667998	442.815446	135.716887	170.810222	122.469680	13.818654	86.852552	1.398454	0.001065	0.015248	0.106548	0.081200	0.052967	0.042632	0.090416	0.017261	0.145598	0.395060	0.025731	0.003619	0.060627	0.050335	0.017604	0.005186	0.045774	0.013954
NULL	Yes	NULL	NULL	NULL	4945153	46.663309	0.485230	1.000000	0.102148	0.053788	0.170028	532.987138	463.472016	120.949104	180.075657	133.446437	29.000816	69.515122	0.714629	0.002905	0.004837	0.027636	0.029490	0.013409	0.010478	0.064866	0.001842	0.077614	0.207572	0.022370	0.001546	0.014153	0.013280	0.011291	0.002940	0.065976	0.010269
UHC-FI	NULL	NULL	F	18-44	627678	32.387257	1.000000	0.560808	0.072953	0.074249	0.220068	421.633379	353.221835	102.153480	116.399240	97.911335	36.757778	68.411544	0.311428	0.000406	0.000474	0.001911	0.008861	0.002918	0.001672	0.055746	0.000122	0.021836	0.051784	0.010643	0.000820	0.002093	0.002196	0.007664	0.001629	0.082258	0.007981
UHC-FI	NULL	NULL	M	18-44	671175	32.423218	0.000000	0.494975	0.035366	0.017263	0.148509	233.333702	178.580064	41.242393	65.069638	48.634352	23.633679	54.753637	0.263669	0.002436	0.000984	0.003251	0.004502	0.002141	0.002173	0.035798	0.000092	0.023563	0.069114	0.011068	0.000736	0.002100	0.002872	0.001773	0.001293	0.039414	0.007980
UHC-FI	NULL	NULL	NULL	18-44	1298853	32.405840	0.483255	0.526789	0.053530	0.044802	0.183090	324.330577	262.976680	70.678018	89.874956	72.447731	29.975974	61.353897	0.286749	0.001455	0.000738	0.002603	0.006608	0.002516	0.001931	0.045438	0.000107	0.022728	0.060739	0.010863	0.000776	0.002097	0.002546	0.004620	0.001455	0.060119	0.007980
UHC-FI	NULL	NULL	F	45-64	536021	54.071773	1.000000	0.621529	0.072396	0.042707	0.181289	657.768192	516.213273	116.393812	216.933489	152.210227	30.675744	141.554918	0.868286	0.000701	0.003626	0.019997	0.042492	0.014583	0.008850	0.083726	0.000638	0.092380	0.256801	0.029241	0.001455	0.013154	0.011865	0.020946	0.003755	0.085379	0.010721
UHC-FI	NULL	NULL	M	45-64	563098	54.069829	0.000000	0.597927	0.045491	0.046693	0.149270	588.243792	453.790910	145.774546	174.464659	108.942279	24.609424	134.452881	0.884213	0.004526	0.009911	0.050303	0.028364	0.015848	0.015723	0.056505	0.000520	0.120231	0.313920	0.027322	0.001708	0.019170	0.017059	0.006334	0.003045	0.036066	0.011193
UHC-FI	NULL	NULL	NULL	45-64	1099119	54.070777	0.487682	0.609438	0.058612	0.044749	0.164885	622.149619	484.233199	131.446079	195.175960	130.043296	27.567862	137.916420	0.876446	0.002661	0.006846	0.035523	0.035254	0.015231	0.012371	0.069780	0.000577	0.106649	0.286064	0.028258	0.001584	0.016236	0.014526	0.013460	0.003391	0.060115	0.010963
UHC-FI	NULL	NULL	F	65+	42890	68.627885	1.000000	0.604523	0.053718	0.085054	0.211214	898.207573	688.033055	195.637477	271.929973	192.835842	27.629761	210.174518	1.524049	0.000396	0.009442	0.065563	0.079808	0.047843	0.031405	0.121007	0.010142	0.163604	0.471531	0.034413	0.003007	0.045092	0.043576	0.029610	0.006015	0.074213	0.014269
UHC-FI	NULL	NULL	M	65+	53187	68.599225	0.000000	0.633726	0.045988	0.100550	0.188579	1032.633557	807.300232	279.310605	313.002255	188.949532	26.037839	225.333324	1.700819	0.001861	0.024423	0.161054	0.095624	0.056009	0.049297	0.093801	0.006975	0.207362	0.518021	0.033824	0.003421	0.068832	0.058792	0.012672	0.005772	0.032789	0.015530
UHC-FI	NULL	NULL	NULL	65+	96077	68.612019	0.446412	0.620689	0.049439	0.093633	0.198684	972.624081	754.057840	241.957851	294.667064	190.684430	26.748493	218.566239	1.621907	0.001207	0.017735	0.118425	0.088564	0.052364	0.041310	0.105946	0.008389	0.187828	0.497267	0.034087	0.003236	0.058234	0.051999	0.020233	0.005880	0.051281	0.014967
UHC-FI	NULL	NULL	NULL	NULL	2494049	43.348257	0.483787	0.566829	0.055612	0.046660	0.175668	480.552312	379.401356	104.056425	144.169858	102.384676	28.790396	101.150955	0.598060	0.001977	0.004084	0.021573	0.022390	0.010040	0.008049	0.058496	0.000633	0.066072	0.176855	0.019423	0.001227	0.010490	0.009730	0.009117	0.002479	0.059777	0.009564
Uni-ASO	NULL	NULL	F	18-44	1569413	31.930862	1.000000	0.481841	0.062885	0.077360	0.233422	424.042667	405.942625	116.242158	132.191753	115.329292	42.179420	18.100042	0.306161	0.000472	0.000453	0.001869	0.008369	0.002914	0.001766	0.055184	0.000117	0.022041	0.050668	0.010475	0.000874	0.002214	0.002245	0.007425	0.001759	0.079752	0.007853
Uni-ASO	NULL	NULL	M	18-44	1581083	31.814909	0.000000	0.508413	0.041570	0.017560	0.140978	223.723578	207.136773	44.504526	79.001183	59.428005	24.203057	16.586805	0.264138	0.003078	0.000869	0.002948	0.004451	0.002212	0.002102	0.036164	0.000103	0.023733	0.065444	0.010825	0.000877	0.002213	0.003069	0.001691	0.001239	0.040140	0.007492
Uni-ASO	NULL	NULL	NULL	18-44	3150496	31.872671	0.498147	0.495176	0.052188	0.047349	0.187029	323.512114	306.171493	80.240478	105.497954	87.275114	33.157945	17.340621	0.285071	0.001780	0.000662	0.002411	0.006403	0.002562	0.001935	0.045639	0.000110	0.022890	0.058083	0.010651	0.000875	0.002214	0.002658	0.004547	0.001498	0.059873	0.007672
Uni-ASO	NULL	NULL	F	45-64	1345779	54.343614	1.000000	0.569655	0.072663	0.045486	0.175513	624.553627	587.663320	129.477256	246.446169	179.354971	32.384921	36.890307	0.857397	0.000714	0.003631	0.019311	0.042718	0.014954	0.008924	0.082200	0.000747	0.090811	0.250154	0.028477	0.001769	0.012970	0.012105	0.021144	0.004028	0.084425	0.010424
Uni-ASO	NULL	NULL	M	45-64	1292879	54.197618	0.000000	0.649120	0.058713	0.046743	0.136196	541.053178	503.422503	147.127448	199.850757	132.282546	24.161749	37.630675	0.886096	0.005487	0.009050	0.046836	0.030039	0.015800	0.014962	0.055043	0.000703	0.118881	0.305815	0.027068	0.002020	0.018477	0.017886	0.006479	0.003108	0.039670	0.010834
Uni-ASO	NULL	NULL	NULL	45-64	2638658	54.272079	0.510024	0.608591	0.065828	0.046102	0.156248	583.640414	546.387344	138.125426	223.615537	156.290614	28.355764	37.253069	0.871459	0.003053	0.006286	0.032798	0.036506	0.015369	0.011882	0.068894	0.000726	0.104564	0.277427	0.027787	0.001892	0.015668	0.014938	0.013958	0.003577	0.062496	0.010625
Uni-ASO	NULL	NULL	F	65+	408350	74.774142	1.000000	0.405556	0.034499	0.089156	0.203193	294.913723	261.635570	75.545051	97.323897	78.846781	9.919839	33.278153	1.219180	0.000176	0.010035	0.062862	0.058905	0.052134	0.041415	0.091284	0.029700	0.111592	0.345578	0.020225	0.003695	0.057379	0.045989	0.021474	0.005152	0.052530	0.013755
Uni-ASO	NULL	NULL	M	65+	379910	73.951614	0.000000	0.526243	0.037466	0.093406	0.180068	387.350166	349.028215	116.535809	131.515116	90.444136	10.533152	38.321950	1.408412	0.001326	0.019630	0.136169	0.083785	0.057737	0.054520	0.079518	0.019749	0.152162	0.371693	0.021555	0.004316	0.073125	0.060324	0.009968	0.004874	0.029080	0.014279
Uni-ASO	NULL	NULL	NULL	65+	788260	74.377716	0.518039	0.463722	0.035929	0.091204	0.192048	339.464416	303.755352	95.300968	113.802706	84.436245	10.215431	35.709063	1.310382	0.000730	0.014660	0.098193	0.070896	0.054834	0.047731	0.085613	0.024904	0.131145	0.358164	0.020866	0.003994	0.064968	0.052898	0.015928	0.005018	0.041228	0.014008
Uni-ASO	NULL	NULL	NULL	NULL	6577414	45.952582	0.505296	0.536905	0.055711	0.052104	0.175282	429.779437	402.249211	105.267056	153.878398	114.621809	28.481946	27.530226	0.643189	0.002165	0.004596	0.026080	0.026208	0.013964	0.011414	0.059759	0.003328	0.068629	0.182040	0.018749	0.001657	0.015132	0.013605	0.009687	0.002754	0.058691	0.009616
UHC-FI	No	No	NULL	18-44	614631	30.604979	0.448514	0.000000	0.000000	0.038022	0.186349	240.330706	209.466594	57.113626	68.535579	54.570973	29.246414	30.864111	0.212405	0.000719	0.000520	0.001758	0.004296	0.002009	0.001452	0.038030	0.000112	0.015671	0.042493	0.008074	0.000668	0.001560	0.001607	0.002681	0.001231	0.046457	0.007220
Uni-ASO	No	No	NULL	18-44	1590443	29.463877	0.511306	0.000000	0.000000	0.041795	0.192537	263.315526	255.632230	67.613002	86.251614	68.753786	33.013827	7.683295	0.226051	0.001009	0.000487	0.001693	0.004616	0.002029	0.001553	0.040832	0.000106	0.016450	0.040478	0.007766	0.000916	0.001686	0.001915	0.003324	0.001217	0.054435	0.007060
NULL	No	No	NULL	18-44	2205074	29.781942	0.493804	0.000000	0.000000	0.040744	0.190812	256.908855	242.764258	64.686460	81.313538	64.800542	31.963717	14.144597	0.222247	0.000928	0.000496	0.001711	0.004527	0.002023	0.001525	0.040051	0.000108	0.016233	0.041040	0.007852	0.000847	0.001651	0.001829	0.003145	0.001221	0.052211	0.007104
UHC-FI	Yes	No	NULL	18-44	614694	33.993079	0.498160	1.000000	0.000000	0.050641	0.184739	395.478890	308.223049	82.231947	107.726253	86.900799	31.364048	87.255840	0.352036	0.002210	0.000950	0.003453	0.008524	0.002996	0.002355	0.051158	0.000099	0.029351	0.077222	0.013375	0.000884	0.002586	0.003401	0.006196	0.001667	0.071076	0.008768
Uni-ASO	Yes	No	NULL	18-44	1395634	34.264039	0.471123	1.000000	0.000000	0.052812	0.185767	382.365012	355.346691	93.261017	123.745261	104.274282	34.066129	27.018321	0.343359	0.002715	0.000848	0.003149	0.008041	0.003118	0.002327	0.049542	0.000111	0.029526	0.075732	0.013560	0.000851	0.002722	0.003449	0.005684	0.001778	0.064359	0.008351
NULL	Yes	No	NULL	18-44	2010328	34.181188	0.479390	1.000000	0.000000	0.052148	0.185453	386.374816	340.937789	89.888680	118.847161	98.962027	33.239919	45.437027	0.346012	0.002561	0.000879	0.003242	0.008189	0.003081	0.002335	0.050036	0.000107	0.029472	0.076188	0.013504	0.000861	0.002680	0.003434	0.005840	0.001744	0.066413	0.008479
NULL	NULL	No	NULL	18-44	4215402	31.879945	0.486930	0.476900	0.000000	0.046183	0.188256	318.651258	289.583280	76.705415	99.213347	81.092176	32.572339	29.067977	0.281271	0.001707	0.000679	0.002441	0.006273	0.002528	0.001912	0.044813	0.000108	0.022547	0.057802	0.010547	0.000854	0.002142	0.002595	0.004430	0.001470	0.058984	0.007760
UHC-FI	No	No	NULL	45-64	429274	53.915590	0.472583	0.000000	0.000000	0.038078	0.165544	444.302981	373.023250	104.154656	145.202319	96.890764	26.775510	71.279730	0.720007	0.001281	0.005951	0.028338	0.026253	0.013098	0.010955	0.059868	0.000540	0.092083	0.243068	0.023136	0.001409	0.014060	0.011505	0.008938	0.003109	0.044360	0.009688
Uni-ASO	No	No	NULL	45-64	1032793	54.335185	0.560759	0.000000	0.000000	0.042438	0.158191	480.821869	465.735100	121.785912	187.994292	127.870594	28.084300	15.086769	0.769601	0.001905	0.005875	0.028329	0.030275	0.014288	0.011427	0.062879	0.000767	0.094436	0.246891	0.024315	0.001862	0.014520	0.013383	0.012421	0.003307	0.054921	0.009632
NULL	No	No	NULL	45-64	1462067	54.211988	0.534870	0.000000	0.000000	0.041158	0.160350	470.099646	438.514195	116.609241	175.430243	118.774680	27.700029	31.585450	0.755040	0.001722	0.005897	0.028332	0.029094	0.013939	0.011288	0.061995	0.000701	0.093745	0.245769	0.023969	0.001729	0.014385	0.012831	0.011398	0.003249	0.051821	0.009648
UHC-FI	Yes	No	NULL	45-64	605423	54.189716	0.486184	1.000000	0.000000	0.049879	0.167691	736.878756	556.109493	150.865668	226.794748	149.864118	28.584957	180.769262	0.984153	0.003723	0.007517	0.040310	0.040738	0.016796	0.013469	0.075958	0.000589	0.118138	0.315701	0.031914	0.001762	0.017825	0.016803	0.016256	0.003623	0.069856	0.011917
Uni-ASO	Yes	No	NULL	45-64	1432167	54.245505	0.467013	1.000000	0.000000	0.049453	0.158191	650.979418	599.242799	151.296680	245.785815	173.068608	29.091694	51.736619	0.943261	0.003990	0.006608	0.035768	0.040073	0.016235	0.012377	0.072585	0.000724	0.112994	0.298421	0.030307	0.001983	0.016666	0.016272	0.014871	0.003787	0.067443	0.011377
